Date,VWC_36in
4/21/2024,0.271221355
4/22/2024,0.271664208
4/23/2024,0.271748253
4/24/2024,0.271657743
4/25/2024,0.271544605
4/26/2024,0.27116317
4/27/2024,0.270739713
4/28/2024,0.270526368
4/29/2024,0.270442323
4/30/2024,0.270332418
5/1/2024,0.270225745
5/2/2024,0.270183723
5/3/2024,0.270248373
5/4/2024,0.270358278
5/5/2024,0.270406765
5/6/2024,0.27024514
5/7/2024,0.269976843
5/8/2024,0.26999947
5/9/2024,0.289979553
5/10/2024,0.288777063
5/11/2024,0.286792308
5/12/2024,0.285027363
5/13/2024,0.282987655
5/14/2024,0.28097704
5/15/2024,0.279357558
5/16/2024,0.278058093
5/17/2024,0.277049553
5/18/2024,0.276215568
5/19/2024,0.275510883
5/20/2024,0.274932265
5/21/2024,0.274392438
5/22/2024,0.27387847
5/23/2024,0.2735035
5/24/2024,0.275811505
5/25/2024,0.277773633
5/26/2024,0.277398663
5/27/2024,0.276668118
5/28/2024,0.27574039
5/29/2024,0.274760943
5/30/2024,0.27377503
5/31/2024,0.272876395
6/1/2024,0.27219757
6/2/2024,0.27162865
6/3/2024,0.271024173
6/4/2024,0.270513438
6/5/2024,0.270125538
6/6/2024,0.26985724
6/7/2024,0.2694952
6/8/2024,0.268981233
6/9/2024,0.268515753
6/10/2024,0.268024413
6/11/2024,0.267584793
6/12/2024,0.267235683
6/13/2024,0.266886573
6/14/2024,0.266964153
6/15/2024,0.270830223
6/16/2024,0.273875238
6/17/2024,0.274651038
6/18/2024,0.28301998
6/19/2024,0.284484303
6/20/2024,0.284335608
6/21/2024,0.283453135
6/22/2024,0.282551268
6/23/2024,0.282059928
6/24/2024,0.281329383
6/25/2024,0.28017538
6/26/2024,0.279150678
6/27/2024,0.278484783
6/28/2024,0.277644333
6/29/2024,0.276920253
6/30/2024,0.276626095
7/1/2024,0.276778023
7/2/2024,0.276907323
7/3/2024,0.277101273
7/4/2024,0.27907633
7/5/2024,0.284975643
7/6/2024,0.285285963
7/7/2024,0.287231928
7/8/2024,0.28689898
7/9/2024,0.288537858
7/10/2024,0.288182283
7/11/2024,0.29230372
7/12/2024,0.291957843
7/13/2024,0.291974005
7/14/2024,0.291482665
7/15/2024,0.290360988
7/16/2024,0.288883735
7/17/2024,0.288237235
7/18/2024,0.287810545
7/19/2024,0.287451738
7/20/2024,0.287270718
7/21/2024,0.286553103
7/22/2024,0.285418495
7/23/2024,0.28439056
7/24/2024,0.28309756
7/25/2024,0.28141666
7/26/2024,0.278833893
7/27/2024,0.27747301
7/28/2024,0.27695581
7/29/2024,0.276331938
7/30/2024,0.274660735
7/31/2024,0.274541133
8/1/2024,0.271489653
8/2/2024,0.267238915
8/3/2024,0.263010805
8/4/2024,0.259610215
8/5/2024,0.261640225
8/6/2024,0.258643698
8/7/2024,0.256115883
8/8/2024,0.257757993
8/9/2024,0.255792633
8/10/2024,0.252611853
8/11/2024,0.2493244
8/12/2024,0.244827993
8/13/2024,0.240021265
8/14/2024,0.237603355
8/15/2024,0.236604513
8/16/2024,0.232302055
8/17/2024,0.229318458
8/18/2024,0.22658053
8/19/2024,0.22431778
8/20/2024,0.223008618
8/21/2024,0.222239283
8/22/2024,0.222271608
8/23/2024,0.222394443
8/24/2024,0.222627183
8/25/2024,0.22317994
8/26/2024,0.223538748
8/27/2024,0.223571073
8/28/2024,0.223946043
8/29/2024,0.225161463
8/30/2024,0.225542898
8/31/2024,0.225811195
9/1/2024,0.226473858
9/2/2024,0.226919943
9/3/2024,0.227049243
9/4/2024,0.227854135
9/5/2024,0.228629935
9/6/2024,0.229286133
9/7/2024,0.230016678
9/8/2024,0.230630853
9/9/2024,0.231164215
9/10/2024,0.231435745
9/11/2024,0.23193355
9/12/2024,0.232505703
9/13/2024,0.232874208
9/14/2024,0.233359083
9/15/2024,0.233831028
9/16/2024,0.234264183
9/17/2024,0.23461006
9/18/2024,0.235017355
9/19/2024,0.235007658
9/20/2024,0.235233933
9/21/2024,0.23547637
9/22/2024,0.235744668
9/23/2024,0.236003268
9/24/2024,0.236203683
9/25/2024,0.236352378
9/26/2024,0.236397633
9/27/2024,0.236478445
9/28/2024,0.236578653
9/29/2024,0.236701488
9/30/2024,0.236798463
10/1/2024,0.236960088
10/2/2024,0.237192828
10/3/2024,0.237370615
10/4/2024,0.237554868
10/5/2024,0.23770895
