"Date","VWC_6in","VWC_12in.x","VWC_12in.y","VWC_36in"
2024-04-21,0.273264295,0.3180635125,0.2946084925,0.271221355
2024-04-22,0.2750454025,0.3196668325,0.2959726075,0.2716642075
2024-04-23,0.27474478,0.320329495,0.2962603,0.2717482525
2024-04-24,0.2741015125,0.3207594175,0.2962635325,0.2716577425
2024-04-25,0.273122065,0.3211731775,0.2960243275,0.271544605
2024-04-26,0.2723301025,0.3214447075,0.295762495,0.27116317
2024-04-27,0.272617795,0.3215869375,0.295620265,0.2707397125
2024-04-28,0.2730153925,0.3217356325,0.2956234975,0.2705263675
2024-04-29,0.272915185,0.3216451225,0.2956752175,0.2704423225
2024-04-30,0.2729959975,0.3216580525,0.295659055,0.2703324175
2024-05-01,0.273639265,0.3215804725,0.29565259,0.270225745
2024-05-02,0.274919335,0.32165482,0.2955976375,0.2701837225
2024-05-03,0.2764095175,0.3217938175,0.2957431,0.2702483725
2024-05-04,0.2762155675,0.32191342,0.2958174475,0.2703582775
2024-05-05,0.27425344,0.3219295825,0.29576896,0.270406765
2024-05-06,0.27303802,0.3219877675,0.2956234975,0.27024514
2024-05-07,0.2729863,0.322075045,0.2951192275,0.2699768425
2024-05-08,0.2841416575,0.341676925,0.2967290125,0.26999947
2024-05-09,0.3034396825,0.33536062,0.30831106,0.2899795525
2024-05-10,0.293667835,0.33079633,0.307115035,0.2887770625
2024-05-11,0.2888902,0.328992595,0.3055084825,0.2867923075
2024-05-12,0.2859324625,0.32822326,0.30408295,0.2850273625
2024-05-13,0.283944475,0.3277739425,0.3028707625,0.282987655
2024-05-14,0.28274845,0.3272923,0.301865455,0.28097704
2024-05-15,0.282328225,0.3268429825,0.3011058175,0.2793575575
2024-05-16,0.2816397025,0.3265165,0.30056599,0.2780580925
2024-05-17,0.28108048,0.326212645,0.300029395,0.2770495525
2024-05-18,0.28108048,0.325876465,0.2996964475,0.2762155675
2024-05-19,0.28104169,0.32558554,0.29935057,0.2755108825
2024-05-20,0.2808315775,0.3253754275,0.29906611,0.274932265
2024-05-21,0.28040812,0.3250974325,0.2988172075,0.2743924375
2024-05-22,0.2800493125,0.324816205,0.2985068875,0.27387847
2024-05-23,0.291366295,0.3540347725,0.2998516075,0.2735035
2024-05-24,0.2917121725,0.332664715,0.303184315,0.275811505
2024-05-25,0.28801096,0.3305862175,0.3025151875,0.2777736325
2024-05-26,0.2859259975,0.3295518175,0.3017652475,0.2773986625
2024-05-27,0.2844131875,0.3289376425,0.30110905,0.2766681175
2024-05-28,0.2827128925,0.32854651,0.3004140625,0.27574039
2024-05-29,0.2810901775,0.3282394225,0.29971261,0.2747609425
2024-05-30,0.2802691225,0.3273795775,0.2991210625,0.27377503
2024-05-31,0.279987895,0.3265649875,0.298658815,0.272876395
2024-06-01,0.2791506775,0.3258732325,0.2982224275,0.27219757
2024-06-02,0.2780710225,0.325152385,0.29777311,0.27162865
2024-06-03,0.27709804,0.32427961,0.2972591425,0.2710241725
2024-06-04,0.276651955,0.3229187275,0.2968971025,0.2705134375
2024-06-05,0.27623173,0.32122813,0.29662234,0.2701255375
2024-06-06,0.274906405,0.31897831,0.2962893925,0.26985724
2024-06-07,0.2733451075,0.3155874175,0.2958820975,0.2694952
2024-06-08,0.2715736975,0.311847415,0.29543278,0.2689812325
2024-06-09,0.2694596425,0.3076031425,0.294934975,0.2685157525
2024-06-10,0.266101075,0.3037597,0.294378985,0.2680244125
2024-06-11,0.2620701475,0.2989982275,0.29372602,0.2675847925
2024-06-12,0.26278453,0.297727855,0.29298901,0.2672356825
2024-06-13,0.260954935,0.2981319175,0.292142095,0.2668865725
2024-06-14,0.2795515075,0.3154063975,0.291715405,0.2669641525
2024-06-15,0.2827840075,0.3224855725,0.292252,0.2708302225
2024-06-16,0.3030388525,0.3350470675,0.2935870225,0.2738752375
2024-06-17,0.301296535,0.337539325,0.29689387,0.2746510375
